Mark,MarkCode,PS,KM,Year,Price
Lada,2,408,108694,2008,28957
BMW,8,274,173266,2008,23235
Other,1,432,180203,2005,12286
Ford,5,373,164765,2009,21649
Mercedes,10,118,89478,2007,21565
Citroen,3,423,61886,2017,45365
Other,1,190,74092,2016,18910
Audi,8,148,244931,2011,6738
Audi,8,324,159969,2018,31877
DS,6,487,22159,2012,56101
Honda,7,140,228139,2015,2000
Dacia,3,319,176829,2015,21771
Audi,8,221,42065,2001,30485
Other,1,274,96387,2022,29776
Peugeot,3,267,29300,2015,43487
Porsche,10,247,144643,2010,30276
Mercedes,10,74,197300,1998,2000
Porsche,10,195,129375,2008,22567
Toyota,7,451,18986,2000,44714
Opel,2,387,214675,1999,2000
Porsche,10,466,82373,2021,66674
Citroen,3,94,206664,2000,2000
Seat,5,190,189064,2002,3126
Opel,2,452,136278,2012,31532
Audi,8,439,186708,2016,37774
DS,6,155,92939,2002,11362
Opel,2,296,203286,2008,9255
VW,6,229,69044,2022,42234
Seat,5,343,100259,2009,34616
DS,6,290,130117,1998,14409
Mercedes,10,342,197445,2022,38431
Lada,2,470,230928,2002,9543
Mercedes,10,293,132659,2021,41957
Other,1,292,123451,2014,20654
Renault,3,111,219283,2004,2000
Porsche,10,140,31736,1999,25460
Audi,8,113,136926,2002,10012
Dacia,3,112,55859,2023,23001
Other,1,257,223527,2020,10459
Toyota,7,314,173229,2021,34291
Hyundai,5,157,201805,2019,6747
Mercedes,10,183,91202,2003,23890
Other,1,408,96906,2017,32113
BMW,8,206,147483,2004,11910
DS,6,476,219951,2004,18337
Opel,2,357,35306,2004,29897
VW,6,405,226807,2022,25047
Porsche,10,313,25932,2002,43307
Other,1,68,12400,2000,8028
VW,6,113,131071,1998,2000
Other,1,175,148946,2014,7137
Nissan,5,443,26357,2015,52843
Audi,8,222,197207,2006,5588
Other,1,443,133391,2004,20955
Toyota,7,187,49064,2013,32564
Lada,2,297,121381,2003,9991
Peugeot,3,110,81213,2005,10746
Renault,3,343,175862,1998,6874
Hyundai,5,376,210615,2016,27327
Other,1,76,192563,2011,2000
Seat,5,158,168707,2006,2351
Peugeot,3,154,202307,1998,2000
DS,6,312,120668,2020,36526
BMW,8,282,159165,2023,30138
Honda,7,339,247289,2012,17998
Porsche,10,476,110864,2008,48804
Peugeot,3,229,155262,2023,22644
Hyundai,5,450,225984,2001,13774
Hyundai,5,380,82575,2011,38610
Opel,2,151,37097,1999,10143
Other,1,274,129862,2019,18800
Peugeot,3,209,60609,2023,32963
Renault,3,239,75313,2003,17586
Ford,5,323,155580,2009,14962
DS,6,162,92235,2003,13961
Opel,2,370,208687,2017,15642
Other,1,328,238841,2007,2000
Opel,2,151,108481,2020,15922
BMW,8,176,10949,2020,51781
Porsche,10,181,21896,2012,39963
Audi,8,185,10237,2013,41777
Other,1,128,118429,2020,19210
Honda,7,203,74042,2002,19915
DS,6,106,83832,2011,15359
Fiat,3,263,48919,2023,42499
DS,6,313,64101,2002,31024
Lada,2,69,215677,2002,2000
Audi,8,206,105793,1998,16384
Other,1,384,21364,2001,32118
BMW,8,443,224295,2024,39840
VW,6,455,208441,2000,15288
Tesla,7,160,108691,2000,16830
Mercedes,10,227,74449,2008,35035
Porsche,10,323,93668,2023,50621
Audi,8,477,62458,2006,56045
BMW,8,134,136484,2021,25027
DS,6,336,225156,2022,18256
Other,1,251,119352,2000,8345
Other,1,95,42841,2014,13766
Peugeot,3,327,172280,2020,27803
